community_id,total_population,median_household_income,median_rent,transit_share_pct,pop_density_per_acre
1,54388,59553.86,1273.67,0.32,46.25
2,78227,71524.77,1412.76,0.29,34.62
3,57331,68444.46,1321.0,0.23,38.54
4,41673,93605.66,1516.87,0.28,25.44
5,35408,145156.86,1747.59,0.33,27.03
6,101163,104135.31,1794.76,0.31,50.73
7,67831,137504.77,2021.45,0.27,33.51
8,104712,122603.16,2321.79,0.43,59.65
9,11203,133209.75,1634.86,0.33,15.43
10,38895,108893.85,1488.02,0.32,13.89
11,26643,93706.01,1389.74,0.35,17.89
12,19517,138253.01,1435.16,0.3,9.54
13,18742,77368.42,1241.5,0.2,11.61
14,46620,82249.64,1362.69,0.34,37.93
15,61793,89490.83,1283.5,0.32,24.43
16,53832,88437.63,1382.3,0.36,26.17
17,41816,84684.42,1285.25,0.27,17.58
18,14084,78841.15,1338.89,0.31,22.25
19,72918,67004.01,1206.7,0.31,29.11
20,22776,67039.11,1248.1,0.33,30.43
21,35489,92644.82,1563.32,0.38,27.96
22,70869,103469.04,1751.47,0.37,30.85
23,55598,53567.69,1239.99,0.36,24.1
24,86598,134321.97,1988.51,0.36,29.57
25,98882,44883.24,1110.15,0.32,21.62
26,15619,38178.57,1185.13,0.4,18.85
27,20526,36811.34,1190.12,0.33,16.59
28,66084,110651.06,2126.57,0.43,18.16
29,31244,37247.42,1181.63,0.33,15.21
30,68798,47515.09,986.04,0.37,23.41
31,33279,71734.66,1225.17,0.38,17.78
32,42181,119836.79,2417.01,0.4,39.82
33,29174,124967.0,2321.2,0.34,25.63
34,14239,43488.41,862.73,0.54,22.34
35,21756,47426.25,1183.48,0.35,20.66
36,6946,29959.68,831.53,0.45,18.67
37,2221,17297.86,448.66,0.57,4.86
38,26345,49092.41,1160.05,0.34,23.67
39,18138,61078.05,1258.61,0.27,27.21
40,13111,27868.59,1135.52,0.24,13.48
41,29591,68166.24,1527.43,0.25,28.67
42,23956,35029.85,1134.08,0.27,18.08
43,54345,40124.82,1085.96,0.33,28.95
44,30782,42086.31,1007.0,0.36,16.29
45,9447,56018.75,1077.83,0.39,11.81
46,29381,42455.67,940.39,0.3,13.73
47,2148,48227.85,692.26,0.33,5.51
48,11645,68354.92,1197.67,0.41,10.39
49,36700,50453.64,1199.31,0.37,11.9
50,6741,54685.31,1120.05,0.32,4.98
51,14210,37095.38,1049.83,0.64,2.04
52,22722,62060.63,1036.58,0.42,11.91
53,24470,50429.69,1322.89,0.35,10.73
54,7536,20515.62,583.58,0.51,3.34
55,9041,59478.4,1146.2,0.47,2.7
56,36426,91762.2,1261.2,0.45,13.46
57,14021,67397.73,980.07,0.43,10.92
58,42062,58095.81,1066.0,0.4,24.14
59,15443,76145.66,1198.1,0.35,17.06
60,33090,73225.57,1309.87,0.37,24.73
61,41789,49405.21,1034.27,0.35,13.52
62,18568,70782.05,1198.0,0.32,24.73
63,35691,57446.24,1037.51,0.32,25.37
64,24924,78378.38,1310.45,0.47,15.26
65,32649,73411.6,1131.74,0.34,17.28
66,53460,48783.26,1105.77,0.31,23.69
67,26729,34376.07,1157.47,0.37,13.24
68,21411,29726.96,1024.37,0.39,10.89
69,29563,40337.98,1070.71,0.44,13.03
70,42079,80909.69,1225.99,0.34,13.53
71,45049,45489.51,1047.86,0.35,18.68
72,19570,127056.19,1138.42,0.27,9.6
73,25312,69526.21,1155.64,0.37,13.85
74,18553,115749.73,1469.3,0.21,10.69
75,21324,73828.0,1541.48,0.31,10.11
76,14004,75645.56,1413.99,0.78,1.64
77,56146,70188.42,1333.44,0.32,50.51
