community_id,ward_id,overlap_sq_miles,pct_of_community_area,pct_of_ward
1,40,0.122433,6.659,3.532
1,48,0.000416,0.023,0.026
1,49,1.71577,93.315,94.005
2,40,1.06166,30.07,30.625
2,49,0.109428,3.099,5.995
2,50,2.359569,66.831,88.291
3,40,0.05487,2.35,1.583
3,46,1.496581,64.094,74.601
3,47,0.494068,21.159,16.241
3,48,0.289466,12.397,17.929
4,39,0.175469,6.856,2.69
4,40,1.717726,67.114,49.55
4,47,0.666218,26.03,21.9
5,32,0.66328,32.41,19.907
5,33,3e-06,0.0,0.0
5,47,1.383253,67.59,45.47
6,32,0.495794,15.848,14.88
6,43,0.003408,0.109,0.153
6,44,1.622895,51.876,95.234
6,46,0.507688,16.228,25.307
6,47,0.498606,15.938,16.39
7,2,0.322267,10.173,28.717
7,27,0.005102,0.161,0.089
7,32,0.712795,22.5,21.393
7,43,2.127751,67.166,95.31
8,2,0.799932,29.085,71.283
8,27,0.895344,32.554,15.642
8,42,0.953804,34.679,50.615
8,43,0.101289,3.683,4.537
9,41,1.134795,100.0,6.653
10,39,0.20605,4.71,3.159
10,41,3.656399,83.581,21.437
10,45,0.503799,11.516,10.073
11,39,0.503717,21.648,7.721
11,41,0.089781,3.859,0.526
11,45,1.733327,74.493,34.656
12,39,1.957727,61.234,30.01
12,45,1.239398,38.766,24.78
13,33,0.021408,0.849,0.96
13,39,2.18693,86.74,33.523
13,50,0.312922,12.411,11.709
14,33,1.001716,52.157,44.917
14,39,0.822195,42.81,12.603
14,40,0.096652,5.032,2.788
15,30,1.008985,25.526,29.639
15,31,0.327259,8.279,12.258
15,38,1.369136,34.638,21.496
15,39,0.000779,0.02,0.012
15,41,0.062014,1.569,0.364
15,45,1.184569,29.968,23.684
16,30,0.943058,29.339,27.703
16,33,0.951631,29.606,42.671
16,35,0.309202,9.619,11.323
16,39,0.670719,20.866,10.281
16,45,0.33975,10.57,6.793
16,47,6e-06,0.0,0.0
17,29,0.219942,5.919,5.137
17,30,0.249196,6.706,7.32
17,36,0.041894,1.127,1.393
17,38,3.200457,86.127,50.248
18,29,0.380036,38.42,8.876
18,36,0.609131,61.58,20.255
19,26,0.289194,7.39,10.379
19,29,0.155029,3.961,3.621
19,30,0.949041,24.251,27.878
19,31,1.3562,34.655,50.8
19,36,1.102493,28.172,36.661
19,37,0.061446,1.57,1.705
20,26,0.354193,30.287,12.712
20,31,0.611514,52.291,22.906
20,35,0.202348,17.303,7.41
20,36,0.001383,0.118,0.046
