community_id,name,centroid_lat,centroid_lng,area_sq_miles
1,ROGERS PARK,42.009623,-87.670167,1.8387
2,WEST RIDGE,42.001572,-87.695013,3.5307
3,UPTOWN,41.965812,-87.655879,2.335
4,LINCOLN SQUARE,41.975172,-87.687515,2.5594
5,NORTH CENTER,41.947792,-87.683835,2.0465
6,LAKE VIEW,41.944227,-87.655999,3.1284
7,LINCOLN PARK,41.922686,-87.64949,3.1679
8,NEAR NORTH SIDE,41.899602,-87.633309,2.7504
9,EDISON PARK,42.007613,-87.813781,1.1348
10,NORWOOD PARK,41.985241,-87.80345,4.3747
11,JEFFERSON PARK,41.97883,-87.771167,2.3268
12,FOREST GLEN,41.993931,-87.758356,3.1971
13,NORTH PARK,41.983636,-87.723583,2.5213
14,ALBANY PARK,41.968068,-87.72156,1.9206
15,PORTAGE PARK,41.954028,-87.7634,3.9527
16,IRVING PARK,41.953582,-87.723452,3.2144
17,DUNNING,41.946511,-87.80602,3.716
18,MONTCLARE,41.929298,-87.798032,0.9892
19,BELMONT CRAGIN,41.927261,-87.765502,3.9134
20,HERMOSA,41.924348,-87.73474,1.1694
21,AVONDALE,41.938666,-87.711211,1.9833
22,LOGAN SQUARE,41.92276,-87.699156,3.5891
23,HUMBOLDT PARK,41.90007,-87.720919,3.6043
24,WEST TOWN,41.901207,-87.676357,4.5757
25,AUSTIN,41.894101,-87.763112,7.1473
26,WEST GARFIELD PARK,41.878595,-87.730233,1.2947
27,EAST GARFIELD PARK,41.878915,-87.705897,1.9328
28,NEAR WEST SIDE,41.874005,-87.663518,5.6851
29,NORTH LAWNDALE,41.86019,-87.717219,3.2099
30,SOUTH LAWNDALE,41.839087,-87.714002,4.5913
31,LOWER WEST SIDE,41.850266,-87.667568,2.9252
32,LOOP,41.878866,-87.625192,1.6621
33,NEAR SOUTH SIDE,41.857184,-87.620335,1.7852
34,ARMOUR SQUARE,41.842077,-87.633974,0.996
35,DOUGLAS,41.835118,-87.618678,1.6502
36,OAKLAND,41.82375,-87.603216,0.6067
37,FULLER PARK,41.809085,-87.632425,0.7144
38,GRAND BOULEVARD,41.812949,-87.61786,1.7394
39,KENWOOD,41.808916,-87.596184,1.0428
40,WASHINGTON PARK,41.792358,-87.617931,1.52
41,HYDE PARK,41.79409,-87.592311,1.6179
42,WOODLAWN,41.778876,-87.594925,2.0738
43,SOUTH SHORE,41.761578,-87.572783,2.9346
44,CHATHAM,41.740206,-87.61597,2.9528
45,AVALON PARK,41.7442,-87.586349,1.2502
46,SOUTH CHICAGO,41.741243,-87.551429,3.3457
47,BURNSIDE,41.728182,-87.596476,0.6096
48,CALUMET HEIGHTS,41.729676,-87.572718,1.7514
49,ROSELAND,41.70659,-87.623366,4.8178
50,PULLMAN,41.706127,-87.598255,2.1164
51,SOUTH DEERING,41.690637,-87.570057,10.8972
52,EAST SIDE,41.707314,-87.534902,2.9859
53,WEST PULLMAN,41.67382,-87.63574,3.5642
54,RIVERDALE,41.660137,-87.602849,3.5292
55,HEGEWISCH,41.660535,-87.546575,5.2358
56,GARFIELD RIDGE,41.796186,-87.76424,4.2287
57,ARCHER HEIGHTS,41.81088,-87.726363,2.0059
58,BRIGHTON PARK,41.817367,-87.698861,2.7223
59,MCKINLEY PARK,41.829922,-87.672503,1.4144
60,BRIDGEPORT,41.836151,-87.648788,2.0909
61,NEW CITY,41.809019,-87.659167,4.8294
62,WEST ELSDON,41.792982,-87.724208,1.1733
63,GAGE PARK,41.795431,-87.696435,2.1983
64,CLEARING,41.779581,-87.768511,2.552
65,WEST LAWN,41.769779,-87.726929,2.9527
66,CHICAGO LAWN,41.771849,-87.695666,3.5253
67,WEST ENGLEWOOD,41.77593,-87.666596,3.1547
68,ENGLEWOOD,41.777198,-87.642497,3.0724
69,GREATER GRAND CROSSING,41.763247,-87.616134,3.5459
70,ASHBURN,41.745757,-87.708365,4.859
71,AUBURN GRESHAM,41.744205,-87.656307,3.7687
72,BEVERLY,41.71315,-87.675075,3.1845
73,WASHINGTON HEIGHTS,41.717494,-87.648895,2.8565
74,MOUNT GREENWOOD,41.694879,-87.713192,2.7112
75,MORGAN PARK,41.68973,-87.669054,3.2956
76,OHARE,41.975684,-87.893701,13.3378
77,EDGEWATER,41.986712,-87.663417,1.7379
