community_id,year,month,primary_type,crime_count
1,2020,1,CRIMINAL DAMAGE,46
1,2020,1,CRIMINAL TRESPASS,9
1,2020,1,BURGLARY,9
1,2020,1,SEX OFFENSE,2
1,2020,1,WEAPONS VIOLATION,3
1,2020,1,ASSAULT,20
1,2020,1,OTHER OFFENSE,30
1,2020,1,OFFENSE INVOLVING CHILDREN,4
1,2020,1,LIQUOR LAW VIOLATION,1
1,2020,1,CRIMINAL SEXUAL ASSAULT,2
1,2020,1,DECEPTIVE PRACTICE,31
1,2020,1,THEFT,91
1,2020,1,INTERFERENCE WITH PUBLIC OFFICER,1
1,2020,1,BATTERY,41
1,2020,1,NARCOTICS,8
1,2020,1,ROBBERY,14
1,2020,1,CRIM SEXUAL ASSAULT,3
1,2020,1,MOTOR VEHICLE THEFT,10
1,2020,2,THEFT,86
1,2020,2,ROBBERY,8
1,2020,2,INTERFERENCE WITH PUBLIC OFFICER,2
1,2020,2,WEAPONS VIOLATION,3
1,2020,2,CRIMINAL SEXUAL ASSAULT,1
1,2020,2,SEX OFFENSE,2
1,2020,2,LIQUOR LAW VIOLATION,1
1,2020,2,CRIMINAL DAMAGE,31
1,2020,2,BATTERY,44
1,2020,2,STALKING,1
1,2020,2,ASSAULT,22
1,2020,2,DECEPTIVE PRACTICE,36
1,2020,2,CRIM SEXUAL ASSAULT,2
1,2020,2,ARSON,1
1,2020,2,BURGLARY,7
1,2020,2,OTHER OFFENSE,20
1,2020,2,MOTOR VEHICLE THEFT,9
1,2020,2,NARCOTICS,11
1,2020,2,OFFENSE INVOLVING CHILDREN,3
1,2020,2,CRIMINAL TRESPASS,3
1,2020,2,KIDNAPPING,1
1,2020,3,CRIMINAL DAMAGE,35
1,2020,3,CRIMINAL TRESPASS,6
1,2020,3,ASSAULT,17
1,2020,3,MOTOR VEHICLE THEFT,4
1,2020,3,OFFENSE INVOLVING CHILDREN,2
1,2020,3,OTHER NARCOTIC VIOLATION,1
1,2020,3,PUBLIC PEACE VIOLATION,1
1,2020,3,BATTERY,62
1,2020,3,DECEPTIVE PRACTICE,24
1,2020,3,NARCOTICS,10
1,2020,3,OTHER OFFENSE,10
1,2020,3,BURGLARY,8
1,2020,3,CRIMINAL SEXUAL ASSAULT,2
1,2020,3,WEAPONS VIOLATION,1
1,2020,3,THEFT,59
1,2020,3,ROBBERY,9
1,2020,3,INTIMIDATION,1
1,2020,3,SEX OFFENSE,3
1,2020,4,THEFT,49
1,2020,4,CRIMINAL DAMAGE,28
1,2020,4,ASSAULT,16
1,2020,4,WEAPONS VIOLATION,2
1,2020,4,CRIMINAL TRESPASS,4
1,2020,4,SEX OFFENSE,3
1,2020,4,MOTOR VEHICLE THEFT,1
1,2020,4,ROBBERY,10
1,2020,4,PUBLIC PEACE VIOLATION,2
1,2020,4,NARCOTICS,1
1,2020,4,OTHER OFFENSE,11
1,2020,4,DECEPTIVE PRACTICE,26
1,2020,4,BATTERY,28
1,2020,4,HOMICIDE,1
1,2020,4,CRIMINAL SEXUAL ASSAULT,2
1,2020,4,BURGLARY,10
1,2020,5,ASSAULT,20
1,2020,5,THEFT,51
1,2020,5,CRIMINAL DAMAGE,39
1,2020,5,BURGLARY,22
1,2020,5,CRIMINAL SEXUAL ASSAULT,2
1,2020,5,PUBLIC PEACE VIOLATION,1
1,2020,5,MOTOR VEHICLE THEFT,7
1,2020,5,SEX OFFENSE,1
1,2020,5,CRIMINAL TRESPASS,5
1,2020,5,ROBBERY,3
1,2020,5,NARCOTICS,2
1,2020,5,OFFENSE INVOLVING CHILDREN,1
1,2020,5,DECEPTIVE PRACTICE,16
1,2020,5,BATTERY,60
1,2020,5,OTHER OFFENSE,16
1,2020,5,KIDNAPPING,1
1,2020,5,STALKING,1
1,2020,5,HOMICIDE,1
1,2020,6,CRIMINAL DAMAGE,46
1,2020,6,HOMICIDE,2
1,2020,6,CRIMINAL SEXUAL ASSAULT,5
1,2020,6,CRIMINAL TRESPASS,7
1,2020,6,BURGLARY,7
1,2020,6,PUBLIC PEACE VIOLATION,1
1,2020,6,BATTERY,63
1,2020,6,WEAPONS VIOLATION,2
1,2020,6,OFFENSE INVOLVING CHILDREN,1
1,2020,6,DECEPTIVE PRACTICE,21
1,2020,6,ROBBERY,14
1,2020,6,ASSAULT,27
1,2020,6,MOTOR VEHICLE THEFT,10
1,2020,6,SEX OFFENSE,2
1,2020,6,THEFT,62
1,2020,6,OTHER OFFENSE,16
1,2020,6,NARCOTICS,2
1,2020,7,ASSAULT,25
1,2020,7,CRIMINAL DAMAGE,41
1,2020,7,BURGLARY,4
1,2020,7,PUBLIC PEACE VIOLATION,1
1,2020,7,CRIMINAL TRESPASS,2
1,2020,7,OTHER OFFENSE,10
1,2020,7,MOTOR VEHICLE THEFT,11
1,2020,7,INTERFERENCE WITH PUBLIC OFFICER,1
1,2020,7,SEX OFFENSE,3
1,2020,7,OFFENSE INVOLVING CHILDREN,1
1,2020,7,BATTERY,68
1,2020,7,ROBBERY,8
1,2020,7,DECEPTIVE PRACTICE,28
1,2020,7,NARCOTICS,5
1,2020,7,CRIMINAL SEXUAL ASSAULT,5
1,2020,7,STALKING,1
1,2020,7,WEAPONS VIOLATION,4
1,2020,7,THEFT,76
1,2020,8,MOTOR VEHICLE THEFT,14
1,2020,8,THEFT,77
1,2020,8,OTHER OFFENSE,9
1,2020,8,PUBLIC INDECENCY,1
1,2020,8,CRIMINAL DAMAGE,46
1,2020,8,BATTERY,67
1,2020,8,ROBBERY,12
1,2020,8,DECEPTIVE PRACTICE,21
1,2020,8,CRIMINAL TRESPASS,5
1,2020,8,STALKING,1
1,2020,8,BURGLARY,15
1,2020,8,ASSAULT,30
1,2020,8,CRIMINAL SEXUAL ASSAULT,4
1,2020,8,SEX OFFENSE,2
1,2020,8,LIQUOR LAW VIOLATION,1
1,2020,8,INTERFERENCE WITH PUBLIC OFFICER,1
1,2020,8,NARCOTICS,7
1,2020,8,OFFENSE INVOLVING CHILDREN,2
