station_id,station_name,community_id,latitude,longitude,ada
40010,Austin,25,41.870851,-87.776812,False
40020,Harlem/Lake,25,41.886848,-87.803176,True
40030,Pulaski,26,41.885412,-87.725404,True
40040,Quincy/Wells,32,41.878723,-87.63374,True
40050,Davis,1,42.04771,-87.683543,True
40060,Belmont,21,41.938132,-87.712359,False
40070,Jackson,32,41.878183,-87.629296,True
40080,Sheridan,6,41.953775,-87.654929,False
40090,Damen,4,41.966286,-87.678639,True
40100,Morse,1,42.008362,-87.665909,False
40120,35th/Archer,59,41.829353,-87.680622,True
40130,51st,38,41.80209,-87.618487,True
40140,Dempster-Skokie,12,42.038951,-87.751919,True
40150,Pulaski,29,41.853732,-87.724311,True
40160,LaSalle/Van Buren,32,41.8768,-87.631739,False
40170,Ashland,28,41.885269,-87.666969,True
40180,Oak Park,25,41.872108,-87.791602,False
40190,Sox-35th,34,41.831191,-87.630636,True
40210,Damen,31,41.854517,-87.675975,True
40220,Western,28,41.875478,-87.688436,False
40230,Cumberland,76,41.984246,-87.838028,True
40240,79th,44,41.750419,-87.625112,True
40250,Kedzie-Homan,27,41.874341,-87.70604,True
40260,State/Lake,32,41.88574,-87.627835,False
40270,Main,1,42.033456,-87.679538,False
40280,Central,25,41.887389,-87.76565,True
40290,Ashland/63rd,67,41.77886,-87.663766,True
40300,Indiana,38,41.821732,-87.621371,True
40310,Western,63,41.804546,-87.684019,True
40320,Division,24,41.903355,-87.666496,False
40330,Grand,8,41.891665,-87.628021,True
40340,Berwyn,77,41.977984,-87.658668,True
40350,UIC-Halsted,28,41.875474,-87.649707,True
40360,Southport,6,41.943744,-87.663619,True
40370,Washington,32,41.883164,-87.62944,False
40380,Clark/Lake,32,41.885737,-87.630886,True
40390,Forest Park,25,41.874257,-87.817318,True
40400,Noyes,1,42.058282,-87.683337,False
40420,Cicero,29,41.85182,-87.745336,True
40430,Clinton,28,41.875539,-87.640984,False
40440,California,30,41.854109,-87.694774,True
40450,95th/Dan Ryan,49,41.722377,-87.624342,True
40460,Merchandise Mart,8,41.888969,-87.633924,True
40470,Racine,28,41.87592,-87.659458,False
40480,Cicero,25,41.886519,-87.744698,True
40490,Grand,24,41.891189,-87.647578,False
40510,Garfield,40,41.795172,-87.618327,True
40520,Foster,1,42.05416,-87.68356,False
40530,Diversey,6,41.932732,-87.653131,True
40540,Wilson,3,41.964273,-87.657588,True
40550,Irving Park,16,41.952925,-87.729229,False
40560,Jackson,32,41.878153,-87.627596,True
40570,California,22,41.921939,-87.69689,False
40580,54th/Cermak,26,41.851773,-87.756692,True
40590,Damen,24,41.909744,-87.677437,False
40600,Kostner,29,41.853751,-87.733258,True
40610,Ridgeland,25,41.887159,-87.783661,False
40630,Clark/Division,8,41.90392,-87.631412,True
40650,North/Clybourn,8,41.910655,-87.649177,False
40660,Armitage,7,41.918217,-87.652644,True
40670,Western,22,41.916157,-87.687364,True
40680,Adams/Wabash,32,41.879507,-87.626037,False
40690,Dempster,1,42.041655,-87.681602,False
40700,Laramie,25,41.887163,-87.754986,True
40710,Chicago,8,41.89681,-87.635924,True
40720,Cottage Grove,42,41.780309,-87.605857,True
40730,Washington/Wells,32,41.882695,-87.63378,True
40740,Western,31,41.854225,-87.685129,True
40750,Harlem,10,41.98227,-87.8089,True
40760,Granville,77,41.993664,-87.659202,True
40770,Lawrence,3,41.969139,-87.658493,True
40780,Central Park,29,41.853839,-87.714842,True
40790,Monroe,32,41.880703,-87.629378,False
40800,Sedgwick,8,41.910409,-87.639302,True
40810,Illinois Medical District,28,41.875706,-87.673932,True
40820,Rosemont,76,41.983507,-87.859388,True
40830,18th,31,41.857908,-87.669147,True
40840,South Boulevard,1,42.027612,-87.678329,False
40850,Harold Washington Library-State/Van Buren,32,41.876862,-87.628196,True
40870,Francisco,14,41.966046,-87.701644,True
40880,Thorndale,77,41.990259,-87.659076,False
40890,O'Hare,76,41.977665,-87.904223,True
40900,Howard,1,42.019063,-87.672892,True
40910,63rd,68,41.780536,-87.630952,True
40920,Pulaski,26,41.873797,-87.725663,False
40930,Midway,56,41.78661,-87.737875,True
40940,Halsted,68,41.778943,-87.644244,True
40960,Pulaski,62,41.799756,-87.724493,True
40970,Cicero,25,41.871574,-87.745154,False
40980,Harlem,25,41.87349,-87.806961,False
40990,69th,69,41.768367,-87.625724,True
41000,Cermak-Chinatown,34,41.853206,-87.630968,True
41010,Rockwell,4,41.966115,-87.6941,True
41020,Logan Square,22,41.929728,-87.708541,True
41030,Polk,28,41.871551,-87.66953,True
41040,Kedzie,29,41.853964,-87.705408,True
41050,Linden,1,42.073153,-87.69073,True
41060,Ashland,31,41.839234,-87.665317,True
41070,Kedzie,27,41.884321,-87.706155,True
41080,47th,38,41.809209,-87.618826,True
41090,Monroe,32,41.880745,-87.627696,False
41120,35th-Bronzeville-IIT,35,41.831677,-87.625826,True
41130,Halsted,60,41.84678,-87.648088,True
41140,King Drive,42,41.78013,-87.615546,True
41150,Kedzie,58,41.804236,-87.704406,True
41160,Clinton,28,41.885678,-87.641782,True
41170,Garfield,37,41.79542,-87.631157,True
41180,Kedzie,14,41.965996,-87.708821,True
41190,Jarvis,1,42.015876,-87.669092,False
41200,Argyle,3,41.973453,-87.65853,True
