unit_id,community_id,management_company,property_name,property_type,units,address
1,21,Leasing & Management Co. Inc.,Hairpin Lofts,Multifamily,25,3414 W. Diversey Ave.
2,32,Willow Bridge,1000M,ARO,23,1000 S. Michigan Ave.
3,22,North Clybourn Group,2556 Armtiage LLC,ARO,1,2556 W. Armitage Ave
4,35,Woodlawn Comm. Dev. Corp.,South Park Plaza,Multifamily,134,2600 S. King Dr.
5,28,The FLATS,The Rosie,ARO,7,1461 S. Blue Island Ave.
6,3,Platform 4611,Platform 4611,ARO,5,4611 N. Broadway
7,29,Lawndale Christian Residential Svcs.,Praise Apts.,Multifamily,11,1859 S. Pulaski Road
8,39,UPA LLC,Cottage View Terrace,Multifamily,97,4829 S. Cootage Grove Ave.
9,28,CHA,Loomis Court,Senior,68,1314 W. 15th St.
10,6,33 Realty,Low-Line Commons,ARO,8,3431 N Ashland Ave
11,60,Senior Lifestyle Corp.,Senior Suites of Bridgeport,Senior,85,2825 S. Halsted St.
12,6,Habitat Company,Britton Bud Apts.,Senior,173,501 W. Surf St.
13,21,Daniel Management Group,The Avondale Residences II,ARO,1,3153 N. Tripp Ave.
14,6,3220 Lincoln LLC,3220 Lincoln,ARO,2,3220 N. Lincoln Ave.
15,40,Assoc. of Chicago Day School,Urbanite Apartments,People with Disabilities,85,5441 S. Michigan Ave.
16,23,Village Green Management Co.,Bloomingdale Apts.,Multifamily,48,1745 N. Keystone Ave.
17,3,The FLATS,The Synagogue,ARO,4,5029 N. Kenmore Ave.
18,42,Woodlawn Comm. Dev. Corp.,Butler Apts.,Senior,17,6146 S. Kenwood Ave.
19,23,Bickerdike Apts.,Nelson Mandela Apts.,Multifamily,6,505 N. Troy St.
20,14,East Lake Management & Development Corp.,Darul Amaan Senior Living,Senior,56,4814-58 N. Kedzie Ave.
21,24,Hispanic Housing Dev. Corp.,Paseo Boricua Apts.,Multifamily,61,1154 N. Campbell St.
22,44,Heartland Housing,Karibuni Place,Supportive Housing,72,8200 S. Ellis Ave.
23,38,"East Lake Management Group, Inc.",Park Boulevard Tower/Grand Renaissance Apts.,Senior,24,4257 S. King Dr.
24,27,Realty & Mortgage Co.,Homan Square Apartments Phase IV,Multifamily,108,908 S. Central Park Ave.
25,6,"RRG Development, Inc.",Renaissance St. Luke Belmont,Senior,52,1501 W. Belmont Ave.
26,40,St. Edmund's Redevelopment Corp.,St. Edmund's Oasis,Multifamily,27,6100-24 S. Prairie Ave.
27,29,"East Lake Management Group, Inc.",Roosevelt Towers,Senior,104,3440 W. Roosevelt Road
28,28,Willow Bridge,Arthur on Aberdeen,ARO,0,210 N. Aberdeen St.
29,21,33 Realty,The Field's Lofts,ARO,12,4000 W. Diversey Ave.
30,23,Bickerdike Apts.,Rosa Parks Apts.,Multifamily,27,541 N. Homan Ave.
31,39,Heartland Housing,Jazz on the Boulevard (scattered sites),Multifamily,81,4657 S. Drexel Blvd
32,22,33 Realty,Motif on Belden,ARO,10,2845 W. Belden Ave.
33,66,Senior Lifestyle Corp.,Senior Suites of Marquette Village,Senior,93,7430 S. Rockwell St.
