management_company,phone_number
1645 W LeMoyne,773-456-5288
2293NMA LLC,312-702-2519
3220 Lincoln LLC,312-214-3563
33 Management LLC,773-269-6405
33 Realty,773-739-8839
5228 S Blacstone LLC,773-221-6998
5T Management,773-952-8004
606 Realty,773-205-8300
@properties,630-694-6968
A Safe Haven Foundation,773-435-8300
"AIDSCare, Inc.",773-935-4663
AIMCO,312-563-0099
AMLI Realty Co.,312-279-0880
Aberdeen East,312-371-4527
Affordable Property Management Specialist,773-261-1550
Alexian Brothers Bonaventure House,773-359-4902
Anixter Center,773-489-2417
Anixter Center Housing Services,773-716-3892
Assoc. of Chicago Day School,773-285-3341
BMA Management Ltd.,773-376-1223
Baker-Simmons Apartments,312-738-2280
Base 3 Management,773-326-6427
Bickerdike Apartments,773-227-6332
Bickerdike Apts.,773-227-6332
Bickerdike Redevelopment Corp.,773-227-6332
Bonheur Realty Services Corp.,773-924-2100
Brand New Beginnings Inc.,773-752-9760
Brookfield Properties,855-272-4356
Bucktown Gateway,773-398-5785
CA Urban Living,312-266-1515
CHA,312-850-4128
CIG Management,773-274-0177
CIM Group,312-883-7331
CMHDC/Progressive NFP/Kass Management,773-975-7234
Cagan Management Group,"224-470-6824, ext. 2"
Campell Street Asset Management Inc.,312-285-3749
Capital Realty Group,773-285-5955
Catholic Charities,773-374-2470
Catholic Charities Housing Devp.,773-994-7850
Centrum Partners,312-330-3210
Chicago Apartment Finders,773-572-2755
Childrens Place Association,773-826-1230
"City Experts, Inc.",773-831-4545
Common Living Inc.,312-778-5765
Congress Commons LLC,773-287-1592
D Properties,773-693-1041
DLG Management,773-665-0103
"DRE, Inc.",773-995-5200
Daniel Management Group,773-328-8038
Deborah's Place,773-638-6490
Deborah's Place Ltd.,773-638-6393
Devon NJ LLC,224-534-9361
Dickson Estates Apartments,773-638-0386
Draper and Kramer,312-985-0121
"Draper and Kramer, Inc.",312-346-8600
Dream Town Realty,312-423-5508
Eagle National Management,312-806-0150
East Lake Management,312-842-5500
East Lake Management & Development Corp.,773-463-3004
East Lake Management Co.,312-326-5200
"East Lake Management Group, Inc.",773-268-4642
Eastgate Village Partners LP,773-381-7400
Eastgate Village Senior Corp.,773-381-7400
Elderly Housing Devp. & Operations Corp.,773-583-4182
Evergreen Real Estate LLC,773-488-7205
Evergreen Real Estate Services,312-234-9400
Evergreen Real Estate Services LLC,312-382-3251
Fernwood Property Management,312-270-1160
Fifield Co.,312-581-9980
Fifield Cos.,312-366-2965
Full Circle Management,312-967-7300
Fulton Grace,773-698-6648
Fulton Grace Realty,773-698-6648
G&A Management,773-381-7400
Glascott Realty,"773-281-0701, ext. 1014"
Golub Realty Services,312-883-7331
Greater Southwest Dev. Corp.,773-471-4444
Greystar,312-847-7179
Group Fox,773-649-0149
H&J Real Estate Management,312-870-4747
H.O.M.E.,773-921-3200
"HSR Property Services, LLC",773-651-6400
Habitat Company,773-388-8101
Harriet Tubman NFP,773-955-5780
Hayes Properties Inc.,773-929-7050
Heartland Houing Inc.,773-472-6463
Heartland Houisng Inc.,312-660-1354
Heartland Housing,773-873-0708
Heartland Housing Inc.,312-660-1374
Hispanic Housing Dev. Corp.,312-602-6500
Holsten Management Corp.,312-326-1455
Holsten Real Estate Dev. Corp.,866-227-0438
Honore Properties,312-600-4501
Hunter Properties,773-477-7070
Indiana Manor Townhomes,773-268-5326
Interfaith Housing Corp.,773-734-2884
Interstate Realty Management Co.,773-893-4800
John Buck Cos.,312-625-8500
KR Developments,847-786-5663
Kass Management,773-975-7234
Kiferbaum Devp. Group,773-494-4395
LUCHA,773-276-5338
"La Casa Norte, Inc.",773-276-4900
Lakshmi Capital Management,312-379-9216
Laramar Group,312-489-1600
Lawndale Christian Residential Svcs.,773-762-3389
Leasing & Management Co. Inc.,773-292-6360
"Leasing and Management Co., Inc.",773-268-1960
Lester and Rosalie Anixter Center,773-385-9080
Life Care Services,872-278-4179
Lincoln Property Co.,312-698-0160
Lipe Property Co.,773-227-1202
Ludwig and Company,773-471-7777
M. Fishman & Co.,773-661-5500
MVAH Partners,773-424-6986
Mac Properties,773-548-5077
Magellan Property Management,312-878-0300
Malet Realty,312-243-5353
Marquette Management,872-264-5548
Marquette Management Inc.,833-365-8945
Mega Realty Inc.,773-736-1900
Mercy Housing,773-334-2164
Mercy Housing Lakefront,773-568-7804
Mercy Housing Management Group,312-867-1442
"Metroplex, Inc.",773-536-0200
Metropolitan Housing Dev. Corp.,773-799-8924
Michaels Development Co.,312-248-6012
Michigan Plaza LP,773-548-8924
NHS Redevelopment Corp.,773-341-3158
NOAH Properties,312-671-0777
Nevelle 22,773-227-1202
"New Moms, Inc.",773-610-7696
Newport Realty,773-680-8644
Nikola Kosoric,360-999-2480
North Clybourn Group,773-252-0600
Northside Properties Inc.,773-883-1200
Omni Group,312-642-8707
One Six Six Chicago,773-673-7724
Onni Group,312-585-6776
Optima Real Estate,773-828-1700
Outlook Management,414-369-3511
Pacific Management Inc.,312-267-4850
"Park, Inc.",773-878-2186
Pathway Senior Living,773-917-8383
Paul G. Stewart Assoc.,312-924-2100
Peak Campus,773-355-4972
Peak Properties,773-281-5252
Peoples Co-Op Management Service,773-924-2100
Perlmark Realty Management,773-427-1400
Perlmark Realty Management LLC,872-302-4010
Pioneer Affordable Housing Preservation,773-536-0463
Pioneer Gardens Senior Housing,773-420-4100
Platform 4611,312-264-2280
"Prairie Management & Development, Inc.",773-626-5320
Preservation Housing Management LLC,773-334-5003
Quad Realty Group,630.715.2285
Quest Chicago,312-850-2620
RL Accelerated,773-831-6098
"RRG Development, Inc.",773-525-1501
Realty & Mortgage Co.,773-722-7320
Related Management,312-595-7400
Related Management Co. LP,773-227-1366
Related Midwest,773-676-2222
Rent Great,847-725-2218
"Resident Management Services, Inc.",312-456-1840
Revere Properties,773-324-1745
"Ross Financial Services, Inc.",773-293-7443
S W Management,773-494-2444
Safeway I.C. Management Inc.,773-522-9035
Sage West Loop,312-327-1101
Sarah's Circle,773-751-7475
Scheck Investments LLC,847-757-7766
Seminary Properties,773-529-3700
Senior Lifestyle,888-339-2315
