community_id,total_population,avg_rent,crime_rate_per_1000,service_request_count_2024,transit_ridership_monthly_avg,affordable_unit_count
1,54388,1273.67,80.05,10253,1219.0,1178
2,78227,1412.76,48.27,16324,,324
3,57331,1321.0,78.51,12015,2594.0,1432
4,41673,1516.87,48.74,11135,1486.0,36
5,35408,1747.59,39.06,11291,1394.0,162
6,101163,1794.76,67.5,20451,3278.0,523
7,67831,2021.45,63.61,17635,5161.0,186
8,104712,2321.79,109.19,15892,4475.0,1312
9,11203,1634.86,25.26,3556,,1
10,38895,1488.02,32.6,12011,1511.0,84
11,26643,1389.74,39.41,8671,4365.0,73
12,19517,1435.16,27.87,7717,621.0,0
13,18742,1241.5,55.86,5092,,380
14,46620,1362.69,53.11,11972,1598.0,233
15,61793,1283.5,52.0,21182,,123
16,53832,1382.3,50.56,17787,1935.0,65
17,41816,1285.25,40.97,13101,,129
18,14084,1338.89,47.78,4361,,97
19,72918,1206.7,64.74,19648,,525
20,22776,1248.1,64.41,6107,,0
21,35489,1563.32,68.08,13819,3280.0,76
22,70869,1751.47,77.04,24766,3412.0,707
23,55598,1239.99,126.75,16343,,1139
24,86598,1988.51,92.44,32220,2914.0,620
25,98882,1110.15,131.0,31827,871.0,703
26,15619,1185.13,241.76,7446,1054.0,509
27,20526,1190.12,188.54,8436,717.0,1205
28,66084,2126.57,165.99,677890,1926.0,1958
29,31244,1181.63,211.43,12290,706.0,1315
30,68798,986.04,62.09,17175,1056.0,39
31,33279,1225.17,95.41,13569,1101.0,352
32,42181,2417.01,221.09,11413,4814.0,53
33,29174,2321.2,93.95,4322,4025.0,1473
34,14239,862.73,77.53,3756,2542.0,147
35,21756,1183.48,133.34,2886,986.0,896
36,6946,831.53,126.98,1556,,1063
37,2221,448.66,317.42,1686,1560.0,100
38,26345,1160.05,144.96,6995,505.0,2406
39,18138,1258.61,115.56,3706,,333
40,13111,1135.52,187.4,3602,676.0,883
41,29591,1527.43,81.92,4317,,111
42,23956,1134.08,158.54,7567,424.0,764
43,54345,1085.96,156.72,15038,,412
44,30782,1007.0,190.47,12461,2396.0,162
45,9447,1077.83,119.3,4139,,102
46,29381,940.39,133.32,11399,,164
47,2148,692.26,137.8,1012,,0
48,11645,1197.67,115.76,6416,,134
49,36700,1199.31,153.65,16770,4486.0,280
50,6741,1120.05,166.74,3032,,270
51,14210,1049.83,133.0,6914,,86
52,22722,1036.58,57.21,7284,,0
53,24470,1322.89,151.41,11977,,262
54,7536,583.58,157.38,1550,,333
55,9041,1146.2,88.93,3471,,116
56,36426,1261.2,66.13,12941,5100.0,228
57,14021,980.07,79.74,6502,,0
58,42062,1066.0,53.3,13426,2213.0,30
59,15443,1198.1,66.31,6175,1750.0,0
60,33090,1309.87,49.71,11227,1678.0,85
61,41789,1034.27,98.23,16575,,336
62,18568,1198.0,56.87,6183,3091.0,78
63,35691,1037.51,70.27,14381,2366.0,59
64,24924,1310.45,44.05,7742,,0
65,32649,1131.74,61.17,9366,,89
66,53460,1105.77,99.36,18567,,341
67,26729,1157.47,173.82,14338,589.0,224
68,21411,1024.37,244.13,11509,831.0,822
69,29563,1070.71,220.34,12396,2323.0,56
70,42079,1225.99,57.58,12650,,85
71,45049,1047.86,147.55,19023,,406
72,19570,1138.42,46.76,7875,,0
73,25312,1155.64,121.25,12121,,146
74,18553,1469.3,29.59,5102,,0
75,21324,1541.48,94.31,8855,,0
76,14004,1413.99,120.97,346298,4891.0,0
77,56146,1333.44,63.64,12558,1425.0,529
