station_id,line_id
40010,blue
40020,green
40030,green
40040,brown
40040,orange
40040,pink
40040,purple
40050,purple
40060,blue
40070,blue
40080,red
40090,brown
40100,red
40120,orange
40130,green
40140,yellow
40150,pink
40160,brown
40160,orange
40160,pink
40160,purple
40170,green
40170,pink
40180,blue
40190,red
40210,pink
40220,blue
40230,blue
40240,red
40250,blue
40260,brown
40260,green
40260,orange
40260,pink
40260,purple
40270,purple
40280,green
40290,green
40300,green
40310,orange
40320,blue
40330,red
40340,red
40350,blue
40360,brown
40370,blue
40380,blue
40380,brown
40380,green
40380,orange
40380,pink
40380,purple
40390,blue
40400,purple
40420,pink
40430,blue
40440,pink
40450,red
40460,brown
40460,purple
40470,blue
40480,green
40490,blue
40510,green
40520,purple
40530,brown
40530,purple
40540,purple
40540,red
40550,blue
40560,red
40570,blue
40580,pink
40590,blue
40600,pink
40610,green
40630,red
40650,red
40660,brown
40660,purple
40670,blue
40680,brown
40680,green
40680,orange
40680,pink
40680,purple
40690,purple
40700,green
40710,brown
40710,purple
40720,green
40730,brown
40730,orange
40730,pink
40730,purple
40740,pink
40750,blue
40760,red
40770,red
40780,pink
40790,blue
40800,brown
40800,purple
40810,blue
40820,blue
40830,pink
40840,purple
40850,brown
40850,orange
40850,pink
40850,purple
40870,brown
40880,red
40890,blue
40900,purple
40900,red
40900,yellow
40910,red
40920,blue
40930,orange
40940,green
40960,orange
40970,blue
40980,blue
40990,red
41000,red
41010,brown
41020,blue
41030,pink
41040,pink
41050,purple
41060,orange
41070,green
41080,green
41090,red
41120,green
41130,orange
41140,green
41150,orange
41160,green
41160,pink
41170,red
41180,brown
41190,red
41200,red
41210,brown
41210,purple
41220,brown
41220,purple
41220,red
41230,red
41240,blue
41250,purple
41260,green
41270,green
41280,blue
41290,brown
41300,red
41310,brown
41320,brown
41320,purple
41320,red
41330,blue
41340,blue
41350,green
41360,green
41380,red
41400,green
41400,orange
41400,red
41410,blue
41420,red
41430,red
41440,brown
41450,red
41460,brown
41480,brown
41490,red
41500,brown
41510,green
41510,pink
41660,red
41670,green
41680,yellow
41690,green
41700,brown
41700,green
41700,orange
41700,pink
41700,purple
41710,green
