ward_id,boundary_version
1,2023-present
2,2023-present
3,2023-present
4,2023-present
5,2023-present
6,2023-present
7,2023-present
8,2023-present
9,2023-present
10,2023-present
11,2023-present
12,2023-present
13,2023-present
14,2023-present
15,2023-present
16,2023-present
17,2023-present
18,2023-present
19,2023-present
20,2023-present
21,2023-present
22,2023-present
23,2023-present
24,2023-present
25,2023-present
26,2023-present
27,2023-present
28,2023-present
29,2023-present
30,2023-present
31,2023-present
32,2023-present
33,2023-present
34,2023-present
35,2023-present
36,2023-present
37,2023-present
38,2023-present
39,2023-present
40,2023-present
41,2023-present
42,2023-present
43,2023-present
44,2023-present
45,2023-present
46,2023-present
47,2023-present
48,2023-present
49,2023-present
50,2023-present
